pais,nombre,puntos,precio,provincia,region_1,region_2,variedad,vina,titulo_resena
Sudáfrica,Estate,85,22.0,Constantia,,,Cabernet Sauvignon,Klein Constantia,Klein Constantia 1999 Estate Cabernet Sauvignon (Constantia)
Estados Unidos,,93,70.0,California,Paso Robles Willow Creek District,Central Coast,Cabernet Sauvignon,Golden Triangle,Golden Triangle 2013 Cabernet Sauvignon (Paso Robles Willow Creek District)
Chile,Albamar,85,11.0,Valle de Casablanca,,,Sauvignon Blanc,William Cole,William Cole 2010 Albamar Sauvignon Blanc (Casablanca Valley)
Estados Unidos,Reserve,92,65.0,California,Napa Valley,Napa,Cabernet Franc,Pure Cru,Pure Cru 2012 Reserve Cabernet Franc (Napa Valley)
Francia,,86,13.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château la Tourbeille,Château la Tourbeille 2011  Bordeaux Supérieur
Italia,Bricco Rioglio,85,27.0,Piedmont,Brachetto d'Acqui,,Brachetto,Rinaldi,Rinaldi 2009 Bricco Rioglio  (Brachetto d'Acqui)
Italia,,94,85.0,Veneto,Amarone della Valpolicella Classico,,Ensamblaje Tinto,Allegrini,Allegrini 2012  Amarone della Valpolicella Classico
Chile,Crucero Reserva,88,13.0,Valle de Colchagua,,,Syrah,Siegel,Siegel 2010 Crucero Reserva Syrah (Colchagua Valley)
Alemania,Bereich Bernkastel,86,13.0,Mosel,,,Riesling,Adolph Mueller,Adolph Mueller 2011 Bereich Bernkastel Riesling (Mosel)
Croacia,Rouge,87,25.0,Istria,,,Teran,Piquentum,Piquentum 2011 Rouge Teran (Istria)
Estados Unidos,Estate Grown,92,21.0,Oregon,Willamette Valley,,Pinot Blanc,WillaKenzie Estate,WillaKenzie Estate 2012 Estate Grown Pinot Blanc
Italia,Le Difese,90,30.0,Tuscany,Toscana,,Ensamblaje Tinto,Tenuta San Guido,Tenuta San Guido 2009 Le Difese Red (Toscana)
Nueva Zelanda,,90,19.0,Marlborough,,,Pinot Gris,Lawson's Dry Hills,Lawson's Dry Hills 2008 Pinot Gris (Marlborough)
Estados Unidos,Estate Grown,92,28.0,California,Amador County,Sierra Foothills,Primitivo,Uphill Vineyards,Uphill Vineyards 2013 Estate Grown Primitivo (Amador County)
Estados Unidos,Gossamer,90,25.0,Washington,Columbia Valley (WA),Columbia Valley,Ensamblaje Blanco,Kontos,Kontos 2012 Gossamer White (Columbia Valley (WA))
España,Brut Nature,88,20.0,Catalonia,Cava,,Sparkling Blend,El Xamfrà,El Xamfrà 2013 Brut Nature Sparkling (Cava)
Estados Unidos,,91,38.0,California,Carneros,Napa-Sonoma,Pinot Noir,Merryvale,Merryvale 2013 Pinot Noir (Carneros)
Estados Unidos,,93,45.0,California,Napa Valley,Napa,Cabernet Sauvignon,Peju,Peju 2006 Cabernet Sauvignon (Napa Valley)
Italia,Berardo Riserva,92,30.0,Tuscany,Chianti Classico,,Ensamblaje Tinto,Castello di Bossi,Castello di Bossi 2012 Berardo Riserva  (Chianti Classico)
Francia,Burlenberg,93,36.0,Alsace,Alsace,,Ensamblaje Tinto,Domaine Marcel Deiss,Domaine Marcel Deiss 2014 Burlenberg Red (Alsace)
Italia,,85,9.0,Piedmont,Moscato d'Asti,,Moscato,Bella Bollè,Bella Bollè 2011  Moscato d'Asti
Alemania,Armand Kabinett,88,20.0,Pfalz,,,Riesling,Von Buhl,Von Buhl 2005 Armand Kabinett Riesling (Pfalz)
Estados Unidos,Shake Ridge Ranch,93,52.0,California,Amador County,Sierra Foothills,Petite Sirah,Aratás,Aratás 2012 Shake Ridge Ranch Petite Sirah (Amador County)
España,,92,28.0,Northern Spain,Cigales,,Tinto del Pais,Traslanzas,Traslanzas 2006 Tinto del Pais (Cigales)
Italia,Fior di Ginestre Passito 500ml,90,28.0,Southern Italy,Pompeiano,,Ensamblaje Blanco,Sorrentino,Sorrentino 2009 Fior di Ginestre Passito 500ml White (Pompeiano)
Italia,Spoletino,87,22.0,Central Italy,Umbria,,Trebbiano,Cantine Novelli,Cantine Novelli 2006 Spoletino Trebbiano (Umbria)
Francia,,91,,Bordeaux,Listrac-Médoc,,Bordeaux-style Red Blend,Château Fonréaud,Château Fonréaud 2005  Listrac-Médoc
Estados Unidos,Estate,87,32.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Boekenoogen,Boekenoogen 2015 Estate Chardonnay (Santa Lucia Highlands)
Estados Unidos,,85,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,Fuse,Fuse 2010 Cabernet Sauvignon (Napa Valley)
Estados Unidos,Estate,84,39.0,California,Paso Robles,Central Coast,Zinfandel,HammerSky,HammerSky 2008 Estate Zinfandel (Paso Robles)
Francia,Comtes d'Eguisheim,95,66.0,Alsace,Alsace,,Riesling,Leon Beyer,Leon Beyer 2008 Comtes d'Eguisheim Riesling (Alsace)
Francia,,86,,Bordeaux,Castillon Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Fongaban,Château Fongaban 2011  Castillon Côtes de Bordeaux
Francia,Brandluft,93,24.0,Alsace,Alsace,,Riesling,Boeckel,Boeckel 2014 Brandluft Riesling (Alsace)
Italia,Ca' Florian Riserva,90,100.0,Veneto,Amarone della Valpolicella Classico,,Ensamblaje Tinto,Tommasi,Tommasi 2009 Ca' Florian Riserva  (Amarone della Valpolicella Classico)
Estados Unidos,,91,18.0,Oregon,Rogue Valley,Southern Oregon,Sauvignon Blanc,Upper Five,Upper Five 2013 Sauvignon Blanc (Rogue Valley)
Italia,Mix36,93,70.0,Tuscany,Toscana,,Sangiovese,Mazzei,Mazzei 2011 Mix36 Sangiovese (Toscana)
Francia,,89,30.0,Alsace,Alsace,,Pinot Gris,Domaine Vincent Stoeffler,Domaine Vincent Stoeffler 2015 Pinot Gris (Alsace)
Estados Unidos,,89,21.0,California,Santa Ynez Valley,Central Coast,Chenin Blanc,Margerum,Margerum 2011 Chenin Blanc (Santa Ynez Valley)
Francia,,89,,Burgundy,Chablis,,Chardonnay,Francine et Olivier Savary,Francine et Olivier Savary 2010  Chablis
Estados Unidos,,82,10.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Hoodsport,Hoodsport 2007 Chardonnay (Columbia Valley (WA))
Estados Unidos,,93,80.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Cornerstone,Cornerstone 2010 Cabernet Sauvignon (Howell Mountain)
Estados Unidos,Whiteline No Oak,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buried Cane,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA))
Francia,,83,17.0,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Tour Saint-Germain,Château Tour Saint-Germain 2010  Blaye Côtes de Bordeaux
Estados Unidos,Jacob-Hart Vineyard,92,45.0,Oregon,Dundee Hills,Willamette Valley,Pinot Gris,Francis Tannahill,Francis Tannahill 2012 Jacob-Hart Vineyard Pinot Gris (Dundee Hills)
Austria,,86,12.0,Carnuntum,,,Grüner Veltliner,Nadler,Nadler 2014 Grüner Veltliner (Carnuntum)
Rumania,Domaine Ceptura,89,28.0,Dealu Mare,,,Ensamblaje Tinto,Davino,Davino 2010 Domaine Ceptura Red (Dealu Mare)
Francia,,88,17.0,Alsace,Alsace,,Pinot Blanc,Domaine Roland Schmitt,Domaine Roland Schmitt 2012 Pinot Blanc (Alsace)
Italia,,91,40.0,Northeastern Italy,Venezia Giulia,,Pinot Grigio,Bressan,Bressan 2006 Pinot Grigio (Venezia Giulia)
Estados Unidos,Le Colonel North Creek Vineyards,87,25.0,New York,Hudson River Region,New York Other,Ensamblaje Tinto,Hudson-Chatham,Hudson-Chatham 2014 Le Colonel North Creek Vineyards Red (Hudson River Region)
Francia,Barrel sample,90,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château du Tertre,Château du Tertre 2010 Barrel sample  (Margaux)
Estados Unidos,,82,11.0,California,California,California Other,Cabernet Sauvignon,McManis,McManis 2008 Cabernet Sauvignon (California)
Italia,,91,77.0,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Monte dall'Ora,Monte dall'Ora 2007  Amarone della Valpolicella Classico
Estados Unidos,Pendulum,92,35.0,California,Monterey County,Central Coast,Syrah-Grenache,Baker & Brain,Baker & Brain 2012 Pendulum Syrah-Grenache (Monterey County)
Estados Unidos,Carter Vineyard,90,50.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Ken Wright,Ken Wright 2010 Carter Vineyard Pinot Noir (Eola-Amity Hills)
Estados Unidos,Estate Reserve,93,35.0,California,Carneros,Napa-Sonoma,Chardonnay,Artesa,Artesa 2014 Estate Reserve Chardonnay (Carneros)
Argentina,Single Vineyard Reserva,91,50.0,Mendoza,Valle de Uco,,Malbec,Serca,Serca 2014 Single Vineyard Reserva Malbec (Valle de Uco)
Estados Unidos,Misty Roses,89,29.0,California,Santa Barbara County,Central Coast,Rosé,Woodstock Collection,Woodstock Collection 2016 Misty Roses Rosé (Santa Barbara County)
Estados Unidos,Oat Hill Estate,91,45.0,California,Calistoga,Napa,Zinfandel,Laura Michael,Laura Michael 2012 Oat Hill Estate Zinfandel (Calistoga)
Italia,Castello,90,18.0,Veneto,Soave Classico,,Garganega,Cantina del Castello,Cantina del Castello 2015 Castello  (Soave Classico)
Estados Unidos,,83,19.0,Oregon,Rogue Valley,Southern Oregon,Sauvignon Blanc,Ledger David,Ledger David 2011 Sauvignon Blanc (Rogue Valley)
Estados Unidos,Deux Chevaux Vineyard,90,55.0,California,Yountville,Napa,Chardonnay,Tamber Bey,Tamber Bey 2013 Deux Chevaux Vineyard Chardonnay (Yountville)
Estados Unidos,20 Years in the Shed with Bob at Bien Nacido,96,75.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Au Bon Climat,Au Bon Climat 2008 20 Years in the Shed with Bob at Bien Nacido Pinot Noir (Santa Maria Valley)
Francia,,89,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château de Pressac,Château de Pressac 2009  Saint-Émilion
Estados Unidos,,89,22.0,California,Carneros,Napa-Sonoma,Pinot Noir,Waterstone,Waterstone 2009 Pinot Noir (Carneros)
Estados Unidos,Bunkhouse,87,30.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Hearst Ranch,Hearst Ranch 2009 Bunkhouse Cabernet Sauvignon (Paso Robles)
Georgia,Khvanchkara Semi-Sweet,88,22.0,Kakheti,,,Ensamblaje Tinto,Wine Man,Wine Man 2013 Khvanchkara Semi-Sweet Red (Kakheti)
Italia,Regium Brut,90,40.0,Lombardy,Franciacorta,,Chardonnay,La Valle,La Valle 2008 Regium Brut Chardonnay (Franciacorta)
Estados Unidos,Le Bon Climat Vineyard,91,40.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Storm,Storm 2008 Le Bon Climat Vineyard Pinot Noir (Santa Maria Valley)
Estados Unidos,,92,46.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Mooney Family,Mooney Family 2012 Chardonnay (Santa Lucia Highlands)
Francia,,89,8.0,Languedoc-Roussillon,Minervois,,Syrah,Domaine Borie de Maurel,Domaine Borie de Maurel 1999 Syrah (Minervois)
Italia,,92,65.0,Tuscany,Brunello di Montalcino,,Sangiovese,La Poderina,La Poderina 2012  Brunello di Montalcino
Estados Unidos,Chiquita Pinot Noir,88,22.0,Oregon,Willamette Valley,Willamette Valley,Rosé,Lumos,Lumos 2014 Chiquita Pinot Noir Rosé (Willamette Valley)
España,Buffalo,86,20.0,Levante,Valencia,,Ensamblaje Tinto,Angosto,Angosto 2011 Buffalo Red (Valencia)
Estados Unidos,McClellan Estate Vineyard,91,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Petit Verdot,Seven Hills,Seven Hills 2007 McClellan Estate Vineyard Petit Verdot (Walla Walla Valley (WA))
Francia,Cuvée La Grange Dimière,88,22.0,Loire Valley,Sancerre,,Rosé,Jean-Max Roger,Jean-Max Roger 2015 Cuvée La Grange Dimière Rosé (Sancerre)
Estados Unidos,Parker's,87,42.0,Oregon,Umpqua Valley,Southern Oregon,Pinot Noir,Melrose,Melrose 2012 Parker's Pinot Noir (Umpqua Valley)
Argentina,Reserva,91,24.0,Mendoza,Mendoza,,Malbec,Sottano,Sottano 2010 Reserva Malbec (Mendoza)
Portugal,Vila Santa Loios Branco,86,9.0,Alentejano,,,Portuguese White,J. Portugal Ramos,J. Portugal Ramos 2014 Vila Santa Loios Branco White (Alentejano)
Estados Unidos,Pinpoint Extreme,92,75.0,California,Russian River Valley,Sonoma,Pinot Noir,Walt,Walt 2013 Pinpoint Extreme Pinot Noir (Russian River Valley)
España,Cabernet Sauvignon,84,15.0,Northern Spain,Navarra,,Rosado,Príncipe de Viana,Príncipe de Viana 2016 Cabernet Sauvignon Rosado (Navarra)
Estados Unidos,Damaris Reserve,84,38.0,California,Sonoma Valley,Sonoma,Chardonnay,Landmark,Landmark 2005 Damaris Reserve Chardonnay (Sonoma Valley)
Estados Unidos,Pinot Gris - Viognier,87,11.0,Washington,Columbia Valley (WA),Columbia Valley,Ensamblaje Blanco,Thurston Wolfe,Thurston Wolfe 1999 Pinot Gris - Viognier White (Columbia Valley (WA))
Italia,,88,28.0,Tuscany,Rosso di Montalcino,,Sangiovese,Donatella Cinelli Colombini,Donatella Cinelli Colombini 2011  Rosso di Montalcino
Estados Unidos,Double L Vineyard,91,58.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Morgan,Morgan 2013 Double L Vineyard Pinot Noir (Santa Lucia Highlands)
Portugal,Charamba Reserva,87,10.0,Douro,,,Portuguese Red,Aveleda,Aveleda 2015 Charamba Reserva Red (Douro)
Estados Unidos,Reserve Speciale,92,110.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Arrowood,Arrowood 2007 Reserve Speciale Cabernet Sauvignon (Sonoma Valley)
Italia,,85,10.0,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,Gru,Gru 2015  Montepulciano d'Abruzzo
México,Txtura 1,88,30.0,Valle de Guadalupe,,,Ensamblaje Tinto,Paralelo,Paralelo 2007 Txtura 1 Red (Valle de Guadalupe)
España,Crianza,86,15.0,Northern Spain,Rioja,,Ensamblaje Tinto,Taron,Taron 2012 Crianza  (Rioja)
Estados Unidos,,92,18.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Ancient Peaks,Ancient Peaks 2012 Cabernet Sauvignon (Paso Robles)
Argentina,,86,16.0,Mendoza,Mendoza,,Chardonnay,Tucumen,Tucumen 2013 Chardonnay (Mendoza)
Estados Unidos,Oyster Ridge,92,50.0,California,Paso Robles,Central Coast,Ensamblaje Tinto,Ancient Peaks,Ancient Peaks 2012 Oyster Ridge Red (Paso Robles)
Francia,Cruet,88,15.0,France Other,Vin de Savoie,,Altesse,Domaine de l'Idylle,Domaine de l'Idylle 2014 Cruet Altesse (Vin de Savoie)
Israel,Yarden Katzrin Kosher,90,100.0,Galilee,,,Bordeaux-style Red Blend,Golan Heights Winery,Golan Heights Winery 2003 Yarden Katzrin Kosher Red (Galilee)
Austria,,86,12.0,Steiermark,,,Rosé,Strauss,Strauss 2012 Rosé (Steiermark)
Chile,Costero Extra Brut,87,19.0,San Antonio,,,Sparkling Blend,Apaltagua,Apaltagua NV Costero Extra Brut Sparkling (San Antonio)
Italia,,87,20.0,Tuscany,Chianti Classico,,Sangiovese,Borgo Scopeto,Borgo Scopeto 2009  Chianti Classico
Francia,Les Falaises,88,24.0,Languedoc-Roussillon,Côtes du Roussillon Villages Tautavel,,Ensamblaje Tinto Tipo Rhône,Domaine Gardiés,Domaine Gardiés 2009 Les Falaises Red (Côtes du Roussillon Villages Tautavel)
Israel,Adama,87,22.0,Galilee,,,Merlot,Tabor,Tabor 2011 Adama Merlot (Galilee)
Francia,,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Pape Clément,Château Pape Clément 2012  Pessac-Léognan
Francia,Les Quatre Eglises,90,17.0,Southwest France,Cahors,,Malbec,Château Bovila,Château Bovila 2012 Les Quatre Eglises Malbec (Cahors)
Estados Unidos,Shea Vineyard,94,55.0,Oregon,Willamette Valley,,Pinot Noir,St. Innocent,St. Innocent 2013 Shea Vineyard Pinot Noir
Estados Unidos,Ice Wine White Bluffs Vineyards,90,40.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Claar,Claar 2013 Ice Wine White Bluffs Vineyards Riesling (Columbia Valley (WA))
Francia,Domaine de Clairfont,89,12.0,Rhône Valley,Vin de Pays de Vaucluse,,Ensamblaje Tinto Tipo Rhône,Vignobles Guy Mousset et Fils,Vignobles Guy Mousset et Fils 2015 Domaine de Clairfont Red (Vin de Pays de Vaucluse)
Estados Unidos,Reserve,92,45.0,California,Edna Valley,Central Coast,Pinot Noir,Edna Valley Vineyard,Edna Valley Vineyard 2005 Reserve Pinot Noir (Edna Valley)
Estados Unidos,R&D; Franscioni Vineyard,87,17.0,California,Santa Lucia Highlands,Central Coast,Pinot Gris,Morgan,Morgan 2009 R&D; Franscioni Vineyard Pinot Gris (Santa Lucia Highlands)
Estados Unidos,Reserve,85,16.0,Virginia,Virginia,,Chardonnay,Virginia Mountain Vineyards,Virginia Mountain Vineyards 2011 Reserve Chardonnay (Virginia)
Estados Unidos,Springloaded Monkey Paw Luc's Vineyard,94,41.0,California,Sonoma County,Sonoma,Tempranillo,Sheldon,Sheldon 2016 Springloaded Monkey Paw Luc's Vineyard Tempranillo (Sonoma County)
Estados Unidos,Benchmark,92,35.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Market Vineyards,Market Vineyards 2008 Benchmark Merlot (Columbia Valley (WA))
Italia,Monte Tombole,85,25.0,Veneto,Valpolicella Superiore,,"Corvina, Rondinella, Molinara",Villa Erbice,Villa Erbice 2007 Monte Tombole  (Valpolicella Superiore)
Estados Unidos,,87,20.0,Oregon,Oregon,Oregon Other,Pinot Noir,Domaine Loubejac,Domaine Loubejac 2013 Pinot Noir (Oregon)
Francia,,92,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Lafaurie-Peyraguey,Château Lafaurie-Peyraguey 2006  Sauternes
Estados Unidos,,83,18.0,California,Calaveras County,Sierra Foothills,Cabernet Sauvignon,Chatom,Chatom 1999 Cabernet Sauvignon (Calaveras County)
Francia,VieVité Extraordinaire,87,30.0,Provence,Côtes de Provence,,Rosé,Domaine Sainte-Marie,Domaine Sainte-Marie 2016 VieVité Extraordinaire Rosé (Côtes de Provence)
Italia,Corte Ferro,86,19.0,Sicily & Sardinia,Terre Siciliane,,Zibibbo,Caruso & Minini,Caruso & Minini 2015 Corte Ferro Zibibbo (Terre Siciliane)
Estados Unidos,,91,19.0,California,Santa Barbara County,Central Coast,Pinot Grigio,Longoria,Longoria 2011 Pinot Grigio (Santa Barbara County)
Italia,,89,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,San Carlo,San Carlo 2010  Brunello di Montalcino
Australia,Bolero,90,16.0,South Australia,Clare Valley,,Riesling,Marlargo,Marlargo 2006 Bolero Riesling (Clare Valley)
Francia,Le Clos Guillot,93,30.0,Loire Valley,Chinon,,Cabernet Franc,Bernard Baudry,Bernard Baudry 2010 Le Clos Guillot  (Chinon)
Estados Unidos,Roadside Market,87,16.0,Washington,Rattlesnake Hills,Columbia Valley,Ensamblaje Tinto,Roza Ridge,Roza Ridge 2009 Roadside Market Red (Rattlesnake Hills)
Francia,,86,20.0,Burgundy,Chablis,,Chardonnay,Laroche,Laroche 2006  Chablis
Italia,Praepositus,92,40.0,Northeastern Italy,Alto Adige Valle Isarco,,Veltliner,Abbazia di Novacella,Abbazia di Novacella 2012 Praepositus Veltliner (Alto Adige Valle Isarco)
Portugal,Late Bottled Vintage,88,30.0,Port,,,Port,Sandeman,Sandeman 2012 Late Bottled Vintage  (Port)
España,12 Meses,90,19.0,Northern Spain,Ribera del Duero,,Tempranillo,Emina,Emina 2006 12 Meses  (Ribera del Duero)
Estados Unidos,,84,22.0,California,Carneros,Napa-Sonoma,Pinot Noir,Sean Minor,Sean Minor 2010 Pinot Noir (Carneros)
Italia,Il 500,88,11.0,Central Italy,Sangiovese di Romagna,,Sangiovese,Fattoria Zerbina,Fattoria Zerbina 2009 Il 500  (Sangiovese di Romagna)
Estados Unidos,,85,17.0,Washington,Yakima Valley,Columbia Valley,Riesling,San Juan Vineyards,San Juan Vineyards 2014 Riesling (Yakima Valley)
Francia,,90,38.0,Burgundy,Pernand-Vergelesses,,Chardonnay,Jean-Luc and Paul Aegerter,Jean-Luc and Paul Aegerter 2014  Pernand-Vergelesses
Italia,Diamante 500ml,90,30.0,Sicily & Sardinia,Sicilia,,Ensamblaje Blanco,Tasca d'Almerita,Tasca d'Almerita 2007 Diamante 500ml White (Sicilia)
Alemania,Niersteiner Gutes Domtal Spätlese,89,13.0,Rheinhessen,,,Riesling,Gustav Adolf Schmitt,Gustav Adolf Schmitt 2015 Niersteiner Gutes Domtal Spätlese Riesling (Rheinhessen)
Estados Unidos,,87,25.0,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Chateau Lafayette Reneau,Chateau Lafayette Reneau 2012 Cabernet Sauvignon (Finger Lakes)
Estados Unidos,Elysium,91,22.0,California,California,California Other,Black Muscat,Quady,Quady 2014 Elysium Black Muscat (California)
Estados Unidos,Roads End,91,45.0,Oregon,Oregon,Oregon Other,Pinot Noir,Carlton Cellars,Carlton Cellars 2012 Roads End Pinot Noir (Oregon)
Estados Unidos,,91,125.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Hall,Hall 2010 Cabernet Sauvignon (Diamond Mountain District)
Grecia,,85,19.0,Santorini,,,Ensamblaje Blanco,Hatzidakis Winery,Hatzidakis Winery 2010 White (Santorini)
Francia,Teurons Premier Cru,93,72.0,Burgundy,Beaune,,Pinot Noir,Albert Morot,Albert Morot 2012 Teurons Premier Cru  (Beaune)
Francia,Les Graviers,85,12.0,Southwest France,Gaillac,,Rosé,Château Lastours,Château Lastours 2014 Les Graviers Rosé (Gaillac)
Italia,,87,15.0,Veneto,Soave,,Garganega,Corte Falco,Corte Falco 2010  Soave
Italia,Solatio del Tani,87,25.0,Tuscany,Chianti Classico,,Ensamblaje Tinto,Machiavelli,Machiavelli 2013 Solatio del Tani  (Chianti Classico)
Estados Unidos,,84,26.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Raised By Wolves,Raised By Wolves 2009 Cabernet Sauvignon (Walla Walla Valley (WA))
Francia,Terrasses du Bouscadel,89,22.0,Languedoc-Roussillon,Saint-Chinian-Roquebrun,,Ensamblaje Tinto Tipo Rhône,Cave de Roquebrun,Cave de Roquebrun 2014 Terrasses du Bouscadel Red (Saint-Chinian-Roquebrun)
Portugal,Vintage,90,60.0,Port,,,Port,Quinta das Carvalhas,Quinta das Carvalhas 2012 Vintage  (Port)
Francia,,84,11.0,Southwest France,Cahors,,Ensamblaje Tinto,Castel Montplaisir,Castel Montplaisir 1997 Red (Cahors)
Estados Unidos,Sams Valley Vineyard,87,25.0,Oregon,Southern Oregon,Southern Oregon,Syrah,Cliff Creek,Cliff Creek 2011 Sams Valley Vineyard Syrah (Southern Oregon)
Estados Unidos,Durell Vineyard,87,50.0,California,Sonoma Coast,Sonoma,Pinot Noir,Loring Wine Company,Loring Wine Company 2007 Durell Vineyard Pinot Noir (Sonoma Coast)
Estados Unidos,The Good Guy,88,40.0,Texas,,,Ensamblaje Tinto,Spicewood,Spicewood 2013 The Good Guy Red
Estados Unidos,Bluffs,88,23.0,California,Russian River Valley,Sonoma,Pinot Noir,Pali,Pali 2012 Bluffs Pinot Noir (Russian River Valley)
Chile,Marques de Casa Concha,88,22.0,Peumo,,,Carmenère,Concha y Toro,Concha y Toro 2008 Marques de Casa Concha Carmenère (Peumo)
Portugal,Villa Oliveira,90,60.0,Dão,,,Encruzado,Casa da Passarella,Casa da Passarella 2014 Villa Oliveira Encruzado (Dão)
Estados Unidos,,90,30.0,California,Napa Valley,Napa,Chardonnay,Fontanella,Fontanella 2008 Chardonnay (Napa Valley)
Francia,Nouveau,84,11.0,Beaujolais,Beaujolais,,Gamay,Joseph Drouhin,Joseph Drouhin 2012 Nouveau  (Beaujolais)
Estados Unidos,Epicenter Old Vine Zinfandel,83,20.0,California,Lodi,Central Valley,Zinfandel,Mettler Family Vineyards,Mettler Family Vineyards 2008 Epicenter Old Vine Zinfandel Zinfandel (Lodi)
Portugal,Pancas,86,12.0,Lisboa,,,Portuguese Red,Companhia das Quintas,Companhia das Quintas 2012 Pancas Red (Lisboa)
Chile,Terroir Selection Gran Reserva,89,16.0,Valle del Cachapoal,,,Syrah,Casas del Toqui,Casas del Toqui 2010 Terroir Selection Gran Reserva Syrah (Cachapoal Valley)
Francia,La Tour Chambert Cuvée des Hauts Coteaux,88,16.0,Southwest France,Cahors,,Malbec-Merlot,Château de Chambert,Château de Chambert 2014 La Tour Chambert Cuvée des Hauts Coteaux Malbec-Merlot (Cahors)
Francia,Dou Barringuet,94,40.0,Southwest France,Madiran,,Tannat-Cabernet,Château de Gayon,Château de Gayon 2009 Dou Barringuet Tannat-Cabernet (Madiran)
Portugal,Tinto,88,15.0,Palmela,,,Ensamblaje Tinto,Quinta da Mimosa,Quinta da Mimosa 2000 Tinto Red (Palmela)
España,,90,29.0,Northern Spain,Getariako Txakolina,,Hondarrabi Zuri,K5 Argiñano,K5 Argiñano 2013 Hondarrabi Zuri (Getariako Txakolina)
Francia,Réserve Brut,90,70.0,Champagne,Champagne,,Champagne Ensamblaje,Castelnau,Castelnau NV Réserve Brut  (Champagne)
Francia,Baron d'Ardeuil Vieilles Vignes,88,17.0,Southwest France,Buzet,,Bordeaux-style Red Blend,Vignerons de Buzet,Vignerons de Buzet 2005 Baron d'Ardeuil Vieilles Vignes Red (Buzet)
Argentina,Piedra Negra Alta Colección Pinot Gris,89,12.0,Mendoza,Valle de Uco,,Rosado,François Lurton,François Lurton 2014 Piedra Negra Alta Colección Pinot Gris Rosado (Valle de Uco)
Francia,Barrel sample,93,,Bordeaux,Barsac,,Bordeaux-style White Blend,Château de Myrat,Château de Myrat 2008 Barrel sample  (Barsac)
Italia,Casalino Riserva,87,15.0,Tuscany,Chianti Classico,,Sangiovese,Bonacchi,Bonacchi 2013 Casalino Riserva  (Chianti Classico)
Estados Unidos,Reserve,86,48.0,Oregon,Rogue Valley,Southern Oregon,Cabernet Sauvignon,Weisinger,Weisinger 2013 Reserve Cabernet Sauvignon (Rogue Valley)
Portugal,Trincadeira-Aragonez,89,10.0,Alentejo,,,Portuguese Red,Alente,Alente 2009 Trincadeira-Aragonez Red (Alentejo)
Estados Unidos,McGah Vineyard,92,35.0,California,Rutherford,Napa,Rosé,Kale,Kale 2016 McGah Vineyard Rosé (Rutherford)
Estados Unidos,Estate,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Gamache,Gamache 2010 Estate Cabernet Sauvignon (Columbia Valley (WA))
Estados Unidos,Reserve Nicholas Vineyard,90,50.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Anam Cara,Anam Cara 2014 Reserve Nicholas Vineyard Pinot Noir (Chehalem Mountains)
Estados Unidos,The Bishop,95,325.0,California,Napa Valley,Napa,Cabernet Sauvignon,Hall,Hall 2012 The Bishop Cabernet Sauvignon (Napa Valley)
Estados Unidos,Rosé of,89,18.0,California,Santa Ynez Valley,Central Coast,Syrah,Buttonwood,Buttonwood 2014 Rosé of Syrah (Santa Ynez Valley)
Francia,,85,14.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Julian,Château Julian 2010  Bordeaux Blanc
